Account Number,First Name,Last Name,Mobile Number,Email,Balance,Date Opened,Status,Password Hash,Account Type
admin,admin,account,1234,admin,100980002000.0,2025-03-18 13:26:09,Active,7676aaafb027c825bd9abab78b234070e702752f625b752e55e55b48e607e358,Savings
20225012,Ricardo,Bautista,09339670711,ricardobautista143@gmail.com,37552.05,2025-02-22 22:47:46,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20212535,Arnold,Gonzales,09334760738,arnoldgonzales239@icloud.com,3273.73,2025-01-20 07:19:31,Closed,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20221106,David,Ng,09914763202,davidng826@yahoo.com,22285.49,2025-01-27 23:29:13,Inactive,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20212519,Rosario,Espiritu,09507943839,rosarioespiritu100@outlook.com,30582.58,2025-03-20 08:44:42,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Checking
20222291,Ronald,Lopez,09692749116,ronaldlopez301@icloud.com,29290.26,2025-03-10 09:46:16,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Checking
20222307,Rosa,Salazar,09349957310,rosasalazar888@gmail.com,14620.71,2025-03-03 17:15:07,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Checking
20224432,Luis,Bartolome,09819595113,luisbartolome274@gmail.com,32478.96,2025-02-21 20:38:10,Inactive,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20225422,Luis,Ong,09787194506,luisong705@icloud.com,34388.41,2025-03-23 19:59:14,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20227572,Margarita,Gonzales,09387484583,margaritagonzales68@yahoo.com,44065.65,2025-01-31 13:15:09,Inactive,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20223340,Arlene,Cabrera,09384412919,arlenecabrera143@yahoo.com,28945.67,2025-01-26 12:13:56,Closed,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Business
20213286,Ricardo,Bautista,09890779946,ricardobautista105@icloud.com,29729.38,2025-01-04 02:03:32,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20219279,Sofia,Navarro,09746412689,sofianavarro28@icloud.com,35942.97,2025-03-10 02:12:20,Closed,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20217924,David,Ng,09465341213,davidng285@yahoo.com,47882.05,2025-02-02 16:19:19,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20216881,Sofia,Manuel,09469319644,sofiamanuel619@outlook.com,36621.72,2025-02-22 01:30:07,Active,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
20226925,Danilo,Torres,09719927151,danilotorres197@gmail.com,33232.53,2025-03-17 01:22:47,Suspended,a665a45920422f9d417e4867efdc4fb8a04a1f3fff1fa07e998e86f7f7a27ae3,Savings
