Application ID,First Name,Last Name,Mobile Number,Email,Initial Balance,Bank Type,Status,Application Date
APP-1743679591,Josefina,Castillo,09248532577,josefinacastillo522@hotmail.com,7679.9,Savings,Pending,2025-03-25 14:30:54
APP-1747082668,Josefa,Santiago,09740389325,josefasantiago66@hotmail.com,6363.0,Checking,Declined,2025-02-15 10:38:07
APP-1741921859,Gabriel,Reyes,09831980933,gabrielreyes907@icloud.com,7917.4,Checking,Pending,2025-02-03 00:39:58
APP-1742653446,Mercedes,Tan,09587182120,mercedestan4@outlook.com,8095.7,Business,Pending,2025-02-19 06:59:02
APP-1743337174,Enrique,Tiu,09264109919,enriquetiu383@yahoo.com,9628.0,Business,Pending,2025-02-21 11:48:49
APP-1741065818,Josefa,Santiago,09513140753,josefasantiago391@icloud.com,5762.0,Checking,Pending,2025-02-23 17:06:35
APP-1745707197,Ricardo,Velasco,09219778234,ricardovelasco301@hotmail.com,4810.4,Savings,Declined,2025-03-12 02:35:47
APP-1742997281,Concepcion,Tiu,09645119047,concepciontiu935@gmail.com,4387.6,Business,Declined,2025-03-04 00:51:36
APP-1746273233,Dolores,Martinez,09918739736,doloresmartinez166@icloud.com,9347.9,Business,Accepted,2025-02-28 03:38:31
APP-1741876828,Christian,Cruz,09489747629,christiancruz900@outlook.com,1050.3,Savings,Declined,2025-03-27 05:54:38
APP-1746455324,Arnold,Garcia,09509760584,arnoldgarcia611@hotmail.com,4011.3,Business,Pending,2025-02-23 17:06:35
APP-1741871534,Ricardo,Velasco,09415143362,ricardovelasco446@yahoo.com,1029.2,Checking,Declined,2025-03-12 02:35:47
APP-1748517485,Concepcion,Tiu,09214257751,concepciontiu892@outlook.com,6061.3,Business,Pending,2025-01-20 07:29:47
APP-1749049278,Angelica,Santiago,09936043811,angelicasantiago945@icloud.com,6190.0,Savings,Pending,2025-02-17 10:32:01
APP-1745159230,Ricardo,Castillo,09357109965,ricardocastillo60@yahoo.com,9575.6,Business,Declined,2025-01-09 07:35:13
APP-1746402509,Miguel,Medina,09739830322,miguelmedina480@icloud.com,9739.7,Checking,Pending,2025-03-25 13:45:43
APP-1744924115,Ricardo,Velasco,09566825638,ricardovelasco162@hotmail.com,9561.3,Savings,Declined,2025-03-27 00:53:06
APP-1741785277,Concepcion,Tiu,09771410971,concepciontiu306@icloud.com,3591.3,Business,Pending,2025-02-06 07:16:56
APP-1745438436,Lorna,Santos,09624636385,lornasantos20@gmail.com,8908.5,Checking,Accepted,2025-03-22 17:55:16
APP-1744041154,Andres,Mendoza,09709194872,andresmendoza970@gmail.com,7453.1,Savings,Pending,2025-03-21 05:28:19
